DIT ID;DIT Main Category;DIT Sub Category;Descriptions
2105;Leisure & Entertainment;Adult Entertainment;Adult entertainment intended to be used by adults only, typically including sexual content. Including sex shops, strip clubs and pornography.
2199;Leisure & Entertainment;Other (Leisure & Entertainment);Other leisure activities not included elsewhere, including rental of recreational goods & media, massage parlours, discos, night clubs, amusement/theme parks and other recreational/physical well-being activities.
2200;Beauty and Perfume;;
2201;Beauty and Perfume;Beauty and Perfume;Production and retail of perfumes, essential oils and beauty products (e.g. shampoos, deodorants, suntan lotion). Hairdressing and other beauty treatment including beauty therapists, nail technicians and barbers.
2300;IT;;
2301;IT;IT;Telecommunication activities including telephone, television & internet networks, and wireless & satellite infrastructure. Computer programming activities including web development, database administration and software development. Computer consultancy activities including the design of computer systems, but excluding the sale and installation of computer equipment.
2400;Financial Services and Insurance;;
2401;Financial Services and Insurance;Financial Service;Financial services excluding insurance and pension funding. Including banks, financial advisors, holding companies, mortgage brokers and actuarial services.
2402;Financial Services and Insurance;Insurance and Pension Funding;Insurance services and pension funding, excluding compulsory social security schemes.
2403;Financial Services and Insurance;Accounting Services;Accounting services, including bookkeeping, auditing activities and tax consultancy.
2499;Financial Services and Insurance;Other (Financial Service);Other financial and insurance services not included in another category.
2500;Real Estate;;
2501;Real Estate;Real Estate;Buying, selling, renting and operating of own real estate, and management of real estate. Includes housing associations and trusts. Real estate agencies and letting agents.
2600;Project Management, Marketing and Admin;;
2601;Project Management, Marketing and Admin;Office Admin and Support ;Office administrative and support activities, call centres, conventions and trade show organisation, and other business supprt activities, such as translation and interpretation services, administration of loyalty programmes, independent auctioneers. Excluding collection agencies, credit bureaux or packaging activities.
2602;Project Management, Marketing and Admin;Advertising, Market Research and PR;Advertising agencies and services including activities around marketing campaigns and product promotion. Media representation, market research, public opinion polling, and public relations and communication activities.
2603;Project Management, Marketing and Admin;Management Consulting;Management consultancy activities, typically involving giving guidance and operational assistance to businesses to help them in planning, organisation, efficiency, etc. Excluding public relations and communication activities. 
2604;Project Management, Marketing and Admin;Holding Companies;Activities of head offices and holding companies that oversee or manage other company units. These typically involve organisational planning and decision making activities.
2699;Project Management, Marketing and Admin;Other (Project Management, Marketing and Admin);Other project management, marketing or administration activities not included in another category, including regulation of business operations and administration of public policies.
2700;Employment, Recruitment, HR;;
2701;Employment, Recruitment, HR;Employment and Human Resources;Employment activities including recruitment agencies, temping agencies and human resources provision.
2800;Science and Engineering;;
2801;Science and Engineering;Engineers;Engineering activities, technical consultancy, and scientific research and development, including surveying & mapping services and technical testing. Repair and installation of machinery and equipment, e.g. boiler cleaning, and servicing & repair of vending machines. Excludes repair and maintenance of transport equipment, computers and clothing accessories.
2802;Science and Engineering;Scientific Activities;Scientific activities, excluding research and development. Including quantity surveyors, environmental consulting, weather forecasting activities and patent brokerage.
2899;Science and Engineering;Other (Science and Engineering);Other scientific or engineering activities not included in another category.
2900;Legal, Public Order, Security;;
2901;Legal, Public Order, Security;Legal Services;Legal representation and document preparation, including conveyancing, drawing up of wills, advising clients on legal matters and other activities of barristers and solicitors.
2902;Legal, Public Order, Security;Security;Security & investigation activities, including bodyguard services, security systems/burglar alarms/CCTV activities, locksmiths and private investigators.
2903;Legal, Public Order, Security;Defence, Public Order and Safety;Provision of services to the community as a whole, including foreign affairs, defence, police forces and fire fighting services.
2999;Legal, Public Order, Security;Other (Legal, Public Order, Security);Other legal, puclic order or security services not included in another category.
3000;Cleaning and Facility Management Services;;
3001;Cleaning and Facility Management Services;Cleaning, Landscaping and Building Maintenance;Facilities support activities including commercial & domestic cleaning of buildings, sale of cleaning equipment, upholstery cleaners, chimney sweeps, launderettes, window cleaners and decontamination services. Planting and maintenance of parks, gardens and greenery (e.g. landscapers, gardeners and fencers).
3099;Cleaning and Facility Management Services;Other (Cleaning and Caretaking Services);Other cleaning or caretaking services not included in another category.
3100;Education;;
3101;Education;Pre-School & Childcare;Pre-school education and childcare including childminders, creches and nursery schools.
3102;Education;Schools, Colleges & Universities;Formal education including schools, colleges, academies and universities.
3199;Education;Other (Education);Other Types of Education. Informal education provided outside of the school and higher education system. Including education in sports, recreational activities, arts, drama, music, driving lessons, academic tutoring and lifeguard training. Other educational support activities, including student exchange programs and educational counselling.
3200;Healthcare;;
3201;Healthcare;Medical Practices;Hospitals and medical practices, including family planning centres. Excluding vets and dentists.
3202;Healthcare;Dentists;Dental activities including dentists, orthodontists and oral pathologists.
3203;Healthcare;Vets;Animal health care activities carried out by qualified vets, excluding activities relating to artificial insemination.
3204;Healthcare;Residential Care;Residential care activities, including orphanages, homeless shelters, juvenile correction homes, nursing homes, rehabilitation clinics and retirement communities.
3299;Healthcare;Other (Healthcare);Other Types of Healthcare Provision. Specialist healthcare activities not included in other categories, e.g. opticians, occupational therapy, chiropody, homeopathy and physiotherapy.
3300;Community Groups, Social, Political and Religious;;
3301;Community Groups, Social, Political and Religious;Governmental Administration and Regulation;Public administration and regulatory bodies (e.g. customs administration, tax collection and administration of government-provided retirement pensions). Extraterratorial organisations e.g. UN, WHO and EC.
3302;Community Groups, Social, Political and Religious;Religious Organisations;Religious organisations including churches, mosques, temples, synagogues, and religious retreats.
3399;Community Groups, Social, Political and Religious;Other (Community Groups, Social, Political and Religious);Other community groups, social, political services not included in another category.
3400;Personal Services;;
3401;Personal Services;Residential Cleaning;Residential cleaning activities by individuals/small companies.
3402;Personal Services;Pet Services;Pet services including, boarding, grooming, sitting and training of pets.
3499;Personal Services;Other (Personal Services);Other personal services not included elsewhere, spiritualist/astrological activities, social activities (dating & escort services, marriage bureaux), shoe shiners and valet car parkers.
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
